分组,单位编码,单位名称,账户编码,账户名称,资金类型,业务日期,摘要,对方名称,上期余额,收入,支出,期末余额,所属部门,收支类型,经办人,负责人,备注,自定义字段1,自定义字段2
养护板块,E001,山西喜跃发实业发展有限公司,A001,中行手工户,银行账户,2026-03-01,期初承接,,200000,0,0,200000,财务部,期初,系统承接,李总,首日承接余额,,
养护板块,E001,山西喜跃发实业发展有限公司,A001,中行手工户,银行账户,2026-03-02,收到工程款,某工程建设单位,200000,350000,0,550000,经营部,经营收入,张三,李总,来自线下收款确认单,工程款,回单待补
养护板块,E001,山西喜跃发实业发展有限公司,A001,中行手工户,银行账户,2026-03-02,支付材料款,某建材供应商,550000,0,125600,424400,采购部,材料采购,张三,李总,无网银账户手工登记,材料,
养护板块,E002,养护分公司,A101,现金账户,现金,2026-03-02,期初承接,,12860,0,0,12860,综合部,期初,系统承接,王主管,现金日记账承接,,
养护板块,E002,养护分公司,A101,现金账户,现金,2026-03-02,收回备用金,张三,12860,500,0,13360,综合部,其他收入,王五,王主管,现金收款,备用金,
养护板块,E002,养护分公司,A101,现金账户,现金,2026-03-02,支付零星采购,某文具店,13360,0,320,13040,综合部,办公用品,王五,王主管,现金付款,零采,
票据板块,E003,路桥项目公司,A301,票据登记簿,票据,2026-03-02,收到商业承兑,某甲方单位,0,860000,0,860000,项目部,票据收入,赵六,项目经理,仅记录会直接影响资金口径的票据动作,商承,到期2026-05-30
票据板块,E003,路桥项目公司,A302,受限资金手工户,其他,2026-03-03,缴纳履约保证金,某招标单位,95000,0,30000,65000,项目部,保证金,赵六,项目经理,手工资金载体,保证金,
多主体补录,E004,建筑安装公司,A205,农商行手工户,银行账户,2026-03-04,收到内部调拨,集团总部,82000,50000,0,132000,财务部,内部转款,李四,财务经理,待系统识别内部往来,内部调拨,
多主体补录,E004,建筑安装公司,A205,农商行手工户,银行账户,2026-03-04,支付劳务费,某劳务队,132000,0,68000,64000,项目部,劳务费用,李四,财务经理,附付款申请单号 FK-20260304-02,劳务,回单待补
多主体补录,E005,设备租赁公司,A402,无网银结算户,银行账户,2026-03-05,银行手续费,开户行,40600,0,50,40550,财务部,手续费,赵强,财务经理,低频手工补录,手续费,
多主体补录,E005,设备租赁公司,A402,无网银结算户,银行账户,2026-03-05,收设备租金,某施工单位,40550,180000,0,220550,经营部,租赁收入,赵强,财务经理,线下对账后录入,租金,
